name,country,year,month,year,host,subtype,accHA,accMP,accNA,accNP,accNS,accPA,accPB1,accPB2
>A/Boston/DOA49/2011,USA,2011,2,17,Human,pH1N1,CY134569,CY134570,CY134571,CY134572,CY134573,CY134574,CY134575,CY134576
>A/Boston/DOA53/2011,USA,2011,2,21,Human,pH1N1,CY134585,CY134586,CY134587,CY134588,CY134589,CY134590,CY134591,CY134592
>A/Boston/DOA73/2011,USA,2011,3,8,Human,pH1N1,CY111398,CY111399,CY111400,CY111401,CY111402,CY111403,CY111404,CY111405
>A/Boston/DOA90/2012,USA,2012,2,21,Human,pH1N1,CY125775,CY125776,CY125777,CY125778,CY125779,CY125780,CY125781,CY125782
>A/Boston/DOA93/2012,USA,2012,3,26,Human,pH1N1,CY125783,CY125784,CY125785,CY125786,CY125787,CY125788,CY125789,CY125790
>A/Boston/YGA_00037/2013,USA,2013,1,10,Human,pH1N1,CY168095,CY168096,CY168097,CY168098,CY168099,CY168100,CY168101,CY168102
>A/Boston/YGA_00087/2013,USA,2013,1,30,Human,pH1N1,CY168423,CY168424,CY168425,CY168426,CY168427,CY168428,CY168429,CY168430
>A/Boston/YGA_01002/2012,USA,2012,12,19,Human,pH1N1,CY168535,CY168536,CY168537,CY168538,CY168539,CY168540,CY168541,CY168542
>A/Boston/YGA_01041/2012,USA,2012,12,25,Human,pH1N1,CY168807,CY168808,CY168809,CY168810,CY168811,CY168812,CY168813,CY168814
>A/Boston/YGA_01050/2012,USA,2012,12,26,Human,pH1N1,CY168879,CY168880,CY168881,CY168882,CY168883,CY168884,CY168885,CY168886
>A/Boston/YGA_01185/2013,USA,2013,1,21,Human,pH1N1,CY169863,CY169864,CY169865,CY169866,CY169867,CY169868,CY169869,CY169870
>A/Boston/YGA_01202/2013,USA,2013,2,3,Human,pH1N1,CY169975,CY169976,CY169977,CY169978,CY169979,CY169980,CY169981,CY169982
>A/Boston/YGA_01217/2013,USA,2013,3,17,Human,pH1N1,CY170079,CY170080,CY170081,CY170082,CY170083,CY170084,CY170085,CY170086
>A/Boston/YGA_01218/2013,USA,2013,3,18,Human,pH1N1,CY170087,CY170088,CY170089,CY170090,CY170091,CY170092,CY170093,CY170094
>A/Boston/YGA_01220/2013,USA,2013,4,26,Human,pH1N1,CY170095,CY170096,CY170097,CY170098,CY170099,CY170100,CY170101,CY170102
>A/Boston/YGA_02024/2013,USA,2013,1,7,Human,pH1N1,CY170255,CY170256,CY170257,CY170258,CY170259,CY170260,CY170261,CY170262
>A/Brazil/AVS08/2011,Brazil,2011,6,9,Human,pH1N1,CY120747,CY120748,CY120749,CY120750,CY120751,CY120752,CY120753,CY120754
>A/Brazil/AVS11/2011,Brazil,2011,6,7,Human,pH1N1,CY120755,CY120756,CY120757,CY120758,CY120759,CY120760,CY120761,CY120762
>A/Brighton/INS3_669/2011,UnitedKingdom,2011,1,26,Human,pH1N1,CY176405,CY176406,CY176407,CY176408,CY176409,CY176410,CY176411,CY176412
>A/Bronx/INS3_673/2012,USA,2012,3,6,Human,pH1N1,CY176690,CY176691,CY176692,CY176693,CY176694,CY176695,CY176696,CY176697
>A/Bronx/INS3_674/2012,USA,2012,3,21,Human,pH1N1,CY176698,CY176699,CY176700,CY176701,CY176702,CY176703,CY176704,CY176705
>A/Brooklyn/INS549/2011,USA,2011,3,24,Human,pH1N1,CY129654,CY129655,CY129656,CY129657,CY129658,CY129659,CY129660,CY129661
>A/Budapest/WRAIR3789T/2011,Hungary,2011,1,18,Human,pH1N1,CY097980,CY097983,CY097982,CY097981,CY097984,CY097979,CY097978,CY097977
>A/California/14/2011,USA,2011,1,7,Human,pH1N1,KC881741,KC881738,KC881739,KC881740,KC881779,KC881742,KC881780,KC881781
>A/California/17/2011,USA,2011,2,15,Human,pH1N1,KC882257,KC881799,KC882049,KC882258,KC882050,KC881732,KC881818,KC881731
>A/California/20/2011,USA,2011,2,21,Human,pH1N1,KC882290,KC882269,KC882268,KC882267,KC882270,KC882266,KC882265,KC882289
>A/California/21/2011,USA,2011,3,13,Human,pH1N1,KC882293,KC882274,KC882273,KC882272,KC882294,KC882271,KC882292,KC882291
>A/California/NHRC0001/2011,USA,2011,1,28,Human,pH1N1,CY092880,CY092881,CY092882,CY092883,CY092884,CY092885,CY092886,CY092887
>A/Cheboksary/IIV-92/2011,Russia,2011,2,22,Human,pH1N1,JN704791,JN704794,JN704793,JN704792,JN704795,JN704790,JN703380,JN703379
>A/Chicago/YGA_04019/2012,USA,2012,12,7,Human,pH1N1,CY171159,CY171160,CY171161,CY171162,CY171163,CY171164,CY171165,CY171166
>A/Chicago/YGA_04123/2012,USA,2012,12,30,Human,pH1N1,CY171543,CY171544,CY171545,CY171546,CY171547,CY171548,CY171549,CY171550
>A/Cologne/INS3_686/2011,Germany,2011,2,15,Human,pH1N1,CY176754,CY176755,CY176756,CY176757,CY176758,CY176759,CY176760,CY176761
>A/Cologne/INS537/2011,Germany,2011,2,18,Human,pH1N1,CY129606,CY129607,CY129608,CY129609,CY129610,CY129611,CY129612,CY129613
>A/Cologne/INS538/2011,Germany,2011,2,23,Human,pH1N1,CY129614,CY129615,CY129616,CY129617,CY129618,CY129619,CY129620,CY129621
>A/Cologne/INS605/2011,Germany,2011,2,11,Human,pH1N1,CY129894,CY129895,CY129896,CY129897,CY129898,CY129899,CY129900,CY129901
>A/Cologne/INS607/2011,Germany,2011,2,15,Human,pH1N1,CY129902,CY129903,CY129904,CY129905,CY129906,CY129907,CY129908,CY129909
>A/Darlinghurst/INS3_643/2011,Australia,2011,8,11,Human,pH1N1,CY176490,CY176491,CY176492,CY176493,CY176494,CY176495,CY176496,CY176497
>A/Darlinghurst/INS3_644/2011,Australia,2011,7,15,Human,pH1N1,CY176498,CY176499,CY176500,CY176501,CY176502,CY176503,CY176504,CY176505
>A/Darlinghurst/INS3_645/2011,Australia,2011,7,7,Human,pH1N1,CY176506,CY176507,CY176508,CY176509,CY176510,CY176511,CY176512,CY176513
>A/Darlinghurst/INS3_666/2011,Australia,2011,7,25,Human,pH1N1,CY176658,CY176659,CY176660,CY176661,CY176662,CY176663,CY176664,CY176665
>A/Darlinghurst/INS3_667/2011,Australia,2011,7,25,Human,pH1N1,CY176666,CY176667,CY176668,CY176669,CY176670,CY176671,CY176672,CY176673
>A/Darlinghurst/INS575/2011,Australia,2011,7,13,Human,pH1N1,CY129750,CY129751,CY129752,CY129753,CY129754,CY129755,CY129756,CY129757
>A/Dayton/INS3_634/2011,USA,2011,1,21,Human,pH1N1,CY176442,CY176443,CY176444,CY176445,CY176446,CY176447,CY176448,CY176449
>A/Dayton/INS3_676/2012,USA,2012,3,12,Human,pH1N1,CY176714,CY176715,CY176716,CY176717,CY176718,CY176719,CY176720,CY176721
>A/Delaware/04/2011,USA,2011,2,4,Human,pH1N1,KC882419,KC882429,KC882430,KC882309,KC882423,KC882426,KC882425,KC882424
>A/Delaware/06/2011,USA,2011,2,4,Human,pH1N1,KC882411,KC882330,KC882329,KC882355,KC882368,KC882354,KC882353,KC882359
>A/Delaware/07/2011,USA,2011,,,Human,pH1N1,KC882326,KC882328,KC882327,KC882370,KC882369,KC882402,KC882361,KC882360
>A/Delaware/08/2011,USA,2011,2,12,Human,pH1N1,KC882398,KC882408,KC882409,KC882410,KC882422,KC882412,KC882413,KC882414
>A/DistrictOfColumbia/INS600/2011,USA,2011,1,10,Human,pH1N1,CY129870,CY129871,CY129872,CY129873,CY129874,CY129875,CY129876,CY129877
>A/DistrictOfColumbia/INS601/2011,USA,2011,1,13,Human,pH1N1,CY129878,CY129879,CY129880,CY129881,CY129882,CY129883,CY129884,CY129885
>A/DistrictOfColumbia/WRAIR0313/2011,USA,2011,1,1,Human,pH1N1,CY097860,CY097863,CY097862,CY097861,CY097864,CY097859,CY097858,CY097857
>A/Durham/INS3_648/2012,USA,2012,3,8,Human,pH1N1,CY176530,CY176531,CY176532,CY176533,CY176534,CY176535,CY176536,CY176537
>A/Egypt/42/2014,Egypt,2014,3,25,Human,pH1N1,KP702181,KP702184,KP702183,KP702182,KP702185,KP702180,KP702179,KP702178
>A/England/10740623/2011,UnitedKingdom,2011,1,1,Human,pH1N1,LN867431,LN867434,LN867433,LN867432,LN867435,LN867430,LN867429,LN867428
>A/England/10740658/2011,UnitedKingdom,2011,1,8,Human,pH1N1,LN867470,LN867473,LN867472,LN867471,LN867474,LN867469,LN867468,LN867467
>A/England/10740664/2011,UnitedKingdom,2011,1,12,Human,pH1N1,LN850014,LN850017,LN850016,LN850015,LN850018,LN850013,LN850012,LN850011
>A/England/10740691/2011,UnitedKingdom,2011,1,3,Human,pH1N1,LN867439,LN867442,LN867441,LN867440,LN867443,LN867438,LN867437,LN867436
>A/England/10740693/2011,UnitedKingdom,2011,1,3,Human,pH1N1,LN867478,LN867481,LN867480,LN867479,LN867482,LN867477,LN867476,LN867475
>A/England/10740704/2011,UnitedKingdom,2011,1,9,Human,pH1N1,LN846639,LN846642,LN846641,LN846640,LN846643,LN846638,LN846637,LN846636
>A/England/10740707/2011,UnitedKingdom,2011,1,14,Human,pH1N1,LN846454,LN846457,LN846456,LN846455,LN846458,LN846453,LN846452,LN846451
>A/England/11520759/2011,UnitedKingdom,2011,1,20,Human,pH1N1,LN850437,LN850440,LN850439,LN850438,LN850441,LN850436,LN850435,LN850434
>A/England/12240614/2011,UnitedKingdom,2011,1,4,Human,pH1N1,LN867668,LN867671,LN867670,LN867669,LN867672,LN867667,LN867666,LN867665
>A/England/132/2011,UnitedKingdom,2011,1,1,Human,pH1N1,LN850300,LN850303,LN850302,LN850301,LN850304,LN850299,LN850298,LN850297
>A/England/213/2011,UnitedKingdom,2011,1,3,Human,pH1N1,LN867732,LN867735,LN867734,LN867733,LN867736,LN867731,LN867730,LN867729
>A/Finland/102/2014,Finland,2014,2,19,Human,pH1N1,KM437634,KM437635,KM437636,KM437637,KM437638,KM437639,KM437640,KM437641
>A/Finland/109/2014,Finland,2014,2,24,Human,pH1N1,KM437642,KM437643,KM437644,KM437645,KM437646,KM437647,KM437648,KM437649
>A/Finland/110/2014,Finland,2014,2,24,Human,pH1N1,KM437650,KM437651,KM437652,KM437653,KM437654,KM437655,KM437656,KM437657
>A/Finland/1520N/2011,Finland,2011,,,Human,pH1N1,KM437658,KM437659,KM437660,KM437661,KM437662,KM437663,KM437664,KM437665
>A/Finland/1521N/2011,Finland,2011,,,Human,pH1N1,KM437666,KM437667,KM437668,KM437669,KM437670,KM437671,KM437672,KM437673
>A/Finland/1525N/2011,Finland,2011,,,Human,pH1N1,KM437674,KM437675,KM437676,KM437677,KM437678,KM437679,KM437680,KM437681
>A/Finland/1529N/2011,Finland,2011,,,Human,pH1N1,KM437682,KM437683,KM437684,KM437685,KM437686,KM437687,KM437688,KM437689
